Hash of previous block,pi,Sub Users,Step
1e9f7619089d6253df98b4a64d391bf6758e41928e840a0674f33d6799509a63987dc64e585f56086f4d7d5cead94879b66fe441b59ec6de0725e62d92d09780 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
aea14ac0ca43a05a8150a5d9a1f6276328c876b6c67eab51c8f599aa9349255a9cde0d03d1631e95e9f7c2f2486b87bdb4fd18e62e84e412c123d7b6ef15d680 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
84f06fca9e7046b67574ca3046168d07bb4224d1095b49e80b2a9997ac97b8f57b04ef40bcd2f6c2b370956fd3b225d02034ad454354d1c1f149d5ba52d4f91c , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
5fd166158d6c0605442da82733a6eced736d4c3251c2292e3145bb5d2ab84444dd469f7408ec5cb31aed5ac6ce1ee6cb98a1986f92bb73f705c7e518a6246160 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
f4b865924f982ae4d7418810be1a7390c8f6f38a846c1becbcc073fd79326418e2f4095a238391bb47c23d5e87578850c2dea68fc3e90a23ced2d4466c96e1e5 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
fefb1d84ad664c86963c4fd0b4aeeb08d19fb60265cd8d102f92d6f473b5b5ef76d1eae995901ac12f1e10f600aeb21f25a465e4419fc5b076949846fb110d92 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,1,1
2bb3065f06d2a756c91aa43998e20e313d775166a9262db43f8f7474c8e39a827e2bfc04cc1596cd890df584d4b3c17039f46540cf5085d0f735cb916f4caedf , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
40ba72de941a76b48c63610e23774b28925e2b1cca206ade53eac4c1278c25a670a5fdb9cdf4005a109107051c6cb5c12cc4c360e31cff133a8438166a8f3dd5 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
204dad66712fbc1ad3f2f5f702b971b86c067874eb7c03cc090bfe515ae7ed6d27141bfad9fd3e69d266cf70b5260b59944a4f323c87ee7370e3575d0561e776 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
da40bca2ef00ad72769a73a38130429df31db27031d49c2d6e54c3ca04d3b2b233a95a31814e3805bf5bfd8d56ec2caf5d527cd00828fa884325626c5afd92b5 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
bf84dff7987765c3575dfbceb0c20af923d03744c121a15c6ce35e8c4dfddaf8010e0533a40b08cce6abeed88355732b8b552103961272d180250bbc87381aa4 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
050ab6a471357ca96bd33683306152ada1d486c5c8049b95cb6adc1c9c131e55a18ea1fbc2514773e8f3c1e5642bb765681bcf1d684a2b852feb4e9ff5aaef16 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
ad357d25b61c839bdd676fd76fe319b812424e870aaf1d29dbf013a1b69b87c9643be50e957038086ba6e9d0277153286e0ebc45a4c6091ed248a450bad821c3 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
aae87d40576336061d23d2e0fee048bf9969a6cf22fc615fbf1457c17db099f0175266a99322827c7ecbdd301ab44acb13426837179c61b6b855a0ba36eda8ce , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
20d59dd3340908586e8a8b10773c33f0351c4a39e864dc18b12db4ee310c1d36998cf4952cbba69cd97fe97fd5bcfbfa50bdf3716980e6684414aee3a70acdad , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
4726c0ac1005cec34e363e4deeac859244b18be00e74882db3b749e1740357c95fbcc3a485dfc417704cfcc09e40527264528b397b54ca15840af1fa6153b203 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
63cee78b42fa9c0d7126ed6323dccc8673106320a3461086eded7238abf60bf92ab9da0d18ab4274632fb2adfbfe2d85b11a5388650b161f4f20ce024a766aef , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
a9c0da87f6c13d30cc4b0af200482a4f7376c15fb145198825f9290c6767b62cdd5cc6910bc6c76cd02c059de10f90e049da1f92c34be32a7f7a89e219465307 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
60f93629626757b861f3c5fefaee29285a06f0ff03d2835e5495def01f86845c6d95a5428375965fee9a1387478594dd0ab050a4157ccadddc26bcf342e5635a , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
0fd35d7adcaaebf758966c6c6e557890454248b5ec780647a86e35f1a56e6255deaf657061cf1b862990863db861eb9875e509b4095bf7614b1e2bcc32f56941 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,1,1
4261146235ed4b888f8b584e24bf23e845a6618673db6b24896dcf9a7d1d8d612ef891633455196468f824b1a4d4360c36898b0594e286df226d4a8c5296ff9b , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
a35eabcb5e478501157639d184ca5848a4361b5bbbaf291c66cd19079f8bf1e2ff73974cc8ea523a3c71448f0e8f0d982933cd8d50872bef3aed29bb63868b78 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
892950a5afe3bed3f40fba9f1139308affc55b4f946615becf06b598c88a67c7b2199df1ff8a64981ff034890ed5fa8dafd3b6e9c2008d106accc9a630632332 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
ba54c3b5977f4567a071f59111b70e76861d099fafb6fbc654730b1580edd787343c01d2e50e8b575d20a6bcf4c4300c40c4042dfce582fbee223b1684a201b4 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
752886bbb3b9a73f99c4276c9566a4397b2832e48a6214c495d33a4ac8e1e258811233f33d6d0b9d2bc8eb9a7ad3623ae4fd88ea0566d77ba0b3e60d0ce0fc74 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
21c6fa6a1a18d24ffcc70d0e086488ab38d19ab9c34a33f2c651bdb1899cbf45540cb0b07f26db9c9e6c9f77d6ad8246b4bf518b0715514c63a559d89e87347f , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
